datetime,Seattle
2013-04-11,283.9941666666666
2013-04-12,281.65124999999995
2013-04-13,279.77916666666664
2013-04-14,278.27958333333333
2013-04-15,279.27916666666664
2013-04-16,279.9108333333333
2013-04-17,280.29833333333335
2013-04-18,281.68541666666664
2013-04-19,281.63270833333337
2013-04-20,282.83958333333334
2013-04-21,282.5775625
2013-04-22,281.4420833333334
2013-04-23,281.0316666666667
2013-04-24,282.1958333333333
2013-04-25,284.29333333333335
2013-04-26,286.3014583333333
2013-04-27,286.40333333333336
2013-04-28,286.1225
2013-04-29,283.87125
2013-04-30,282.74500000000006
2013-05-01,280.74625000000003
2013-05-02,282.1400000000001
2013-05-03,285.90541666666667
2013-05-04,286.6204166666667
2013-05-05,289.33875
2013-05-06,292.0208333333334
2013-05-07,293.4841666666667
2013-05-08,289.96333333333337
2013-05-09,287.11125
2013-05-10,286.64541666666656
2013-05-11,289.0029166666667
2013-05-12,291.15666666666664
2013-05-13,291.3704166666667
2013-05-14,288.1433333333334
2013-05-15,284.4941666666666
2013-05-16,285.67125000000004
2013-05-17,286.66597916666666
2013-05-18,287.40291666666667
2013-05-19,286.1083333333333
2013-05-20,286.3464583333334
2013-05-21,286.1433333333333
2013-05-22,284.50708333333336
2013-05-23,281.9766666666667
2013-05-24,282.34
2013-05-25,283.53625000000005
2013-05-26,285.6779166666667
2013-05-27,285.75541666666675
2013-05-28,286.044375
2013-05-29,285.9597916666666
2013-05-30,285.36999999999995
2013-05-31,284.94916666666666
2013-06-01,285.90875
2013-06-02,287.8016666666667
2013-06-03,288.3954166666667
2013-06-04,287.92916666666673
2013-06-05,289.92666666666673
2013-06-06,291.3904166666667
2013-06-07,290.90875
2013-06-08,289.9420833333333
2013-06-09,288.0016666666667
2013-06-10,287.61791666666664
2013-06-11,286.85729166666664
2013-06-12,287.4554166666667
2013-06-13,287.2652083333333
2013-06-14,287.45520833333336
2013-06-15,287.5366666666667
2013-06-16,288.5583333333334
2013-06-17,290.91666666666663
2013-06-18,290.4041666666667
2013-06-19,290.348625
2013-06-20,288.25016666666664
2013-06-21,287.4872291666666
2013-06-22,287.42162291666665
2013-06-23,289.99011458333337
2013-06-24,291.53781250000003
2013-06-25,289.7125
2013-06-26,289.4466666666668
2013-06-27,289.0425
2013-06-28,290.29375
2013-06-29,293.5725
2013-06-30,295.71374999999995
2013-07-01,296.4704166666665
2013-07-02,296.9958333333332
2013-07-03,292.9781249999999
2013-07-04,292.64041666666657
2013-07-05,289.72133333333335
2013-07-06,290.19537499999996
2013-07-07,291.36541666666665
2013-07-08,291.1791666666666
2013-07-09,291.0033333333334
2013-07-10,293.70291666666674
2013-07-11,291.240625
2013-07-12,289.0119583333333
2013-07-13,288.0720833333334
2013-07-14,288.4775
2013-07-15,291.73654166666665
